Thu nh?p ,C? ??nh,Nhu c?u,Giáo d?c,Thanh toán n?,Ti?t ki?m,B?n thân,a,b,c,d,e,f
9850000,2500000,0,1,0,0,1,0.27380711,0.14153646,0.10494447,0.3930541,0,0.08665786
7150000,3020000,0,0,0,1,0,0.44237762,0.30761009,0.07281858,0.11387841,0,0.0633153
8600000,4010000,0,0,0,1,0,0.48627907,0.31859583,0.02685674,0.10219903,0,0.06606933
8500000,2810000,0,0,0,1,0,0.35058824,0.33908941,0.09579707,0.1345656,0,0.07995968
8450000,3200000,0,0,0,1,0,0.39869822,0.2851707,0.0939556,0.1296371,0,0.09253838
5500000,2230000,0,0,0,1,1,0.42545455,0.29961324,0.10515096,0.15923622,0,0.01054503
7400000,2750000,0,1,0,1,0,0.39162162,0.39444658,0.10063035,0.06350917,0,0.04979228
9800000,2130000,0,1,0,1,1,0.23734694,0.26235001,0.18298007,0.28881889,0,0.02850409
5550000,2570000,0,0,0,1,0,0.48306306,0.26397669,0.07853315,0.12081679,0,0.05361031
9850000,3520000,0,0,0,1,1,0.37736041,0.13050292,0.14479701,0.33300146,0,0.0143382
6850000,2990000,0,1,0,1,0,0.45649635,0.39241064,0.09368128,0.03718573,0,0.020226
6450000,2170000,0,1,0,1,0,0.35643411,0.31197476,0.12006833,0.13952271,0,0.07200009
9200000,3400000,0,0,0,1,1,0.38956522,0.26518835,0.12314909,0.21371307,0,0.00838427
9300000,2110000,0,1,0,1,1,0.24688172,0.15785758,0.29517307,0.20689528,0,0.09319235
7250000,3110000,0,1,0,1,0,0.44896552,0.30207517,0.07609559,0.13816146,0,0.03470226
9300000,3910000,0,1,0,0,1,0.44043011,0.10425567,0.21807604,0.16234573,0,0.07489245
8200000,2010000,0,1,0,1,1,0.26512195,0.17914923,0.31809983,0.18547974,0,0.05214925
9250000,2240000,0,1,0,1,1,0.26216216,0.14738274,0.13491504,0.38805436,0,0.0674857
6650000,2690000,0,1,0,1,1,0.42451128,0.19426088,0.20720388,0.16085495,0,0.01316901
5600000,2160000,0,0,0,1,0,0.40571429,0.34357187,0.06703782,0.1428941,0,0.04078192
6250000,2560000,0,0,0,0,1,0.4296,0.12447116,0.28843309,0.10134518,0,0.05615057
5750000,2240000,0,0,0,0,1,0.40956522,0.12303136,0.18596048,0.27160519,0,0.00983775
6200000,2770000,0,0,0,1,0,0.46677419,0.37144566,0.07106081,0.04274909,0,0.04797025
8400000,3530000,0,0,0,1,0,0.4402381,0.32945459,0.09151593,0.07645491,0,0.06233647
9100000,2470000,0,0,0,1,0,0.29142857,0.38438535,0.12800647,0.09960029,0,0.09657932
9450000,4530000,0,1,0,1,0,0.49936508,0.29421659,0.14591668,0.00262455,0,0.0578771
8750000,4090000,0,1,0,1,0,0.48742857,0.27803673,0.06123974,0.13895278,0,0.03434218
7650000,2350000,0,0,0,0,1,0.32718954,0.13575257,0.22235058,0.21951747,0,0.09518984
8150000,3510000,0,1,0,1,0,0.45067485,0.39056589,0.04244771,0.08175003,0,0.03456152
8150000,3500000,0,1,0,1,0,0.44944785,0.3738627,0.09364341,0.01585822,0,0.06718782
8050000,3010000,0,0,0,1,0,0.39391304,0.36523352,0.05072383,0.09455587,0,0.09557374
9300000,3510000,0,1,0,1,0,0.39741935,0.37311173,0.1076694,0.05714634,0,0.06465318
9100000,3120000,0,1,0,1,0,0.36285714,0.29580094,0.14593584,0.1455272,0,0.04987888
9250000,2390000,0,1,0,1,1,0.27837838,0.12977356,0.20715731,0.31797106,0,0.06671969
7100000,2860000,0,0,0,1,0,0.4228169,0.36213372,0.06095341,0.12868345,0,0.02541252
8900000,2630000,0,1,0,1,1,0.31550562,0.22646514,0.16876423,0.2296356,0,0.05962941
9700000,4260000,0,1,0,1,0,0.45917526,0.35352451,0.11917015,0.05503716,0,0.01309292
10000000,2260000,0,1,0,1,1,0.246,0.38110415,0.12610788,0.17686361,0,0.06992436
8750000,2630000,0,0,0,1,0,0.32057143,0.35046846,0.14636905,0.13704362,0,0.04554744
5300000,2150000,0,1,0,1,1,0.42566038,0.10326564,0.25279411,0.13162311,0,0.08665676
6850000,2680000,0,1,0,1,1,0.41124088,0.21766778,0.19798503,0.1703553,0,0.00275101
8200000,3840000,0,1,0,1,0,0.48829268,0.32173142,0.0282264,0.14538093,0,0.01636857
8250000,3700000,0,0,0,1,0,0.46848485,0.28730774,0.10830711,0.05891758,0,0.07698272
9950000,4440000,0,0,0,1,1,0.46623116,0.15970252,0.11402943,0.23714646,0,0.02289043
9700000,3610000,0,1,0,1,1,0.39216495,0.11618556,0.3059137,0.12397151,0,0.06176428
9000000,3640000,0,0,0,1,0,0.42444444,0.32954642,0.06681714,0.13554373,0,0.04364827
9350000,4450000,0,1,0,1,0,0.49593583,0.20932333,0.0683596,0.14807523,0,0.07830601
8200000,3030000,0,0,0,1,1,0.3895122,0.26877818,0.15954801,0.17324018,0,0.00892143
6700000,2980000,0,1,0,1,0,0.46477612,0.38447891,0.05681258,0.08752122,0,0.00641117
7400000,2320000,0,1,0,0,1,0.33351351,0.13009655,0.2619444,0.21332995,0,0.06111559
9050000,2530000,0,1,0,1,0,0.29955801,0.37456005,0.13879406,0.10664324,0,0.08044464
8450000,2280000,0,1,0,1,1,0.28982249,0.1393449,0.21385158,0.3017187,0,0.05526233
8350000,2640000,0,0,0,1,1,0.33616766,0.14892747,0.12264897,0.32065813,0,0.07159777
6850000,2340000,0,1,0,1,0,0.36160584,0.35365616,0.12689351,0.09813834,0,0.05970615
5850000,2460000,0,1,0,1,0,0.44051282,0.31390625,0.12834411,0.11423812,0,0.0029987
9400000,2530000,0,1,0,1,1,0.28914894,0.22820402,0.10085214,0.31700015,0,0.06479475
7300000,2310000,0,0,0,1,1,0.33643836,0.20806511,0.19177,0.18816298,0,0.07556355
8150000,3130000,0,0,0,1,1,0.40404908,0.23405448,0.19843477,0.11817704,0,0.04528463
7000000,2500000,0,1,0,1,1,0.37714286,0.37662804,0.12626132,0.10630456,0,0.01366322
9700000,3280000,0,1,0,0,1,0.35814433,0.12943085,0.20847303,0.29593427,0,0.00801752
9300000,4450000,0,1,0,1,0,0.49849462,0.37831705,0.04171241,0.06771881,0,0.01375711
6900000,2760000,0,1,0,1,0,0.42,0.33899664,0.08915216,0.14347431,0,0.00837689
6250000,2430000,0,1,0,1,0,0.4088,0.38571686,0.03416258,0.13864494,0,0.03267562
5300000,2380000,0,0,0,1,1,0.4690566,0.23360155,0.12873654,0.14344336,0,0.02516195
7300000,3020000,0,0,0,1,0,0.43369863,0.29156806,0.14453974,0.10940446,0,0.02078911
8900000,2460000,0,0,0,1,1,0.29640449,0.14549565,0.28420391,0.1809554,0,0.09294055
8550000,2510000,0,1,0,1,1,0.31356725,0.35538506,0.1974691,0.10481387,0,0.02876472
10000000,4080000,0,0,0,1,0,0.428,0.31413859,0.14665384,0.03513507,0,0.0760725
8000000,2240000,0,0,0,1,0,0.3,0.36997231,0.12995996,0.1107873,0,0.08928043
8150000,2450000,0,1,0,0,1,0.3206135,0.14506662,0.23138484,0.23517756,0,0.06775748
8600000,3760000,0,0,0,1,0,0.4572093,0.24536744,0.08250309,0.11786463,0,0.09705554
6850000,2940000,0,1,0,1,0,0.44919708,0.38848209,0.139344,0.00361102,0,0.01936581
8400000,3880000,0,1,0,1,0,0.48190476,0.28543295,0.06825673,0.09176882,0,0.07263674
7900000,3470000,0,1,0,1,0,0.45924051,0.38752513,0.11483506,0.03642222,0,0.00197708
8800000,3320000,0,0,0,1,1,0.39727273,0.26329686,0.14237014,0.17014108,0,0.02691919
8900000,3970000,0,1,0,1,0,0.46606742,0.24045494,0.12856464,0.14821305,0,0.01669995
7600000,2740000,0,0,0,1,0,0.38052632,0.36016061,0.1131489,0.09138763,0,0.05477654
6550000,2140000,0,0,0,1,1,0.34671756,0.17323461,0.13612096,0.29051215,0,0.05341472
4450000,2090000,0,1,0,1,0,0.48966292,0.24670892,0.14605189,0.07043648,0,0.04713979
7750000,3440000,0,1,0,0,1,0.46387097,0.14811795,0.1479728,0.21375242,0,0.02628586
8800000,2050000,0,1,0,1,1,0.25295455,0.28137107,0.26557621,0.11524255,0,0.08485562
6400000,2450000,0,0,0,1,0,0.4028125,0.30159164,0.1294153,0.07319906,0,0.0929815
9250000,4020000,0,0,0,1,0,0.45459459,0.34966323,0.06837723,0.11614533,0,0.01121962
8200000,2440000,0,1,0,0,1,0.31756098,0.12446249,0.35238844,0.15638817,0,0.04919992
7850000,3320000,0,0,0,1,0,0.44292994,0.35683396,0.06323519,0.07284899,0,0.06415192
8400000,2980000,0,1,0,1,1,0.3747619,0.10669023,0.28185727,0.21240076,0,0.02428984
9400000,2850000,0,1,0,1,1,0.32319149,0.17591767,0.21631916,0.27016914,0,0.01440254
9350000,2620000,0,0,0,1,1,0.3002139,0.33709503,0.13728423,0.13360571,0,0.09180113
9100000,2420000,0,0,0,1,1,0.28593407,0.23204146,0.28166144,0.16194379,0,0.03841924
8850000,2780000,0,1,0,1,1,0.33412429,0.2428097,0.25875198,0.15275713,0,0.0115569
9350000,3750000,0,0,0,1,1,0.42106952,0.15360191,0.24486899,0.17760586,0,0.00285372
7800000,3260000,0,1,0,1,0,0.43794872,0.29783686,0.11298529,0.06338961,0,0.08783952
9250000,3000000,0,1,0,1,0,0.34432432,0.35706438,0.1160307,0.08421328,0,0.09836732
9350000,3810000,0,1,0,1,0,0.42748663,0.26409016,0.12612449,0.14486168,0,0.03743704
8600000,3280000,0,0,0,1,1,0.40139535,0.11708871,0.21038849,0.19744074,0,0.07368671
8250000,3580000,0,0,0,0,1,0.45393939,0.12822324,0.28220043,0.12248745,0,0.01314949
6350000,2750000,0,0,0,1,0,0.45307087,0.33447103,0.00786772,0.11178206,0,0.09280832
9500000,2980000,0,0,0,0,1,0.33368421,0.12178202,0.20480656,0.29743846,0,0.04228875
5950000,2710000,0,1,0,0,1,0.47546218,0.10918415,0.1107719,0.29693654,0,0.00764523
9600000,3740000,0,0,0,1,0,0.40958333,0.31235813,0.10827185,0.07953109,0,0.0902556
9950000,4650000,0,1,0,0,1,0.48733668,0.11865077,0.17194178,0.21730835,0,0.00476242
9850000,3630000,0,1,0,0,1,0.38852792,0.12867434,0.13257916,0.29878823,0,0.05143035
7250000,2510000,0,1,0,0,1,0.3662069,0.11768479,0.11860331,0.34890168,0,0.04860332
9450000,2640000,0,0,0,0,1,0.29936508,0.12803135,0.38274696,0.16201615,0,0.02784046
9600000,4050000,0,1,0,0,1,0.441875,0.1250764,0.20098614,0.13877005,0,0.09329241
9150000,4010000,0,1,0,1,0,0.45825137,0.30856303,0.13840754,0.05161832,0,0.04315974
7900000,2090000,0,1,0,1,1,0.28455696,0.19081962,0.13705171,0.32848739,0,0.05908432
8850000,2840000,0,0,0,0,1,0.34090395,0.11679656,0.11489509,0.32972796,0,0.09767644
9950000,3550000,0,0,4600000,0,0,0.37678392,0.04062307,0.01479451,0.08859543,0.46231156,0.01689151
7150000,2430000,0,0,1800000,1,0,0.35986014,0.13900147,0.11918583,0.12103791,0.25174825,0.0091664
9400000,2330000,0,1,4000000,0,0,0.26787234,0.07675789,0.08586616,0.0451948,0.42553191,0.0987769
6200000,2410000,0,0,1600000,0,0,0.40870968,0.14433813,0.08261983,0.06168644,0.25806452,0.0445814
5950000,2010000,0,0,2200000,0,0,0.35781513,0.07534698,0.02794748,0.12905632,0.3697479,0.04008619
9300000,2020000,0,0,5400000,0,0,0.2372043,0.0976201,0.01715196,0.01383783,0.58064516,0.05354065
6300000,2260000,0,0,3300000,0,0,0.37873016,0.00941377,0.0045571,0.05239223,0.52380952,0.03109722
7500000,2260000,0,0,2400000,0,0,0.32133333,0.08070397,0.13947837,0.09539533,0.32,0.043089
7000000,3060000,0,0,2900000,0,0,0.45714286,0.00141417,0.03659231,0.03366981,0.41428571,0.05689514
7900000,3580000,0,1,2200000,0,0,0.47316456,0.02787881,0.04143886,0.13495837,0.27848101,0.04407839
8050000,2170000,0,0,3900000,0,0,0.28956522,0.0074051,0.01985977,0.11021286,0.48447205,0.088485
8750000,3360000,0,0,2000000,1,0,0.404,0.12353799,0.10435142,0.06128108,0.22857143,0.07825808
7800000,2130000,0,1,3100000,1,0,0.29307692,0.15563552,0.03893872,0.07040389,0.3974359,0.04450905
9900000,4500000,0,1,1800000,0,0,0.47454545,0.14969785,0.03106634,0.10289646,0.18181818,0.05997572
7700000,2980000,0,1,2500000,0,0,0.40701299,0.11708176,0.07635616,0.04209418,0.32467532,0.03277959
9950000,3270000,0,1,1700000,1,0,0.34864322,0.39026841,0.05046654,0.00281933,0.17085427,0.03694823
7550000,2390000,0,1,2400000,0,0,0.33655629,0.11769326,0.0702494,0.11994213,0.31788079,0.03767813
9450000,4440000,0,1,2300000,0,0,0.48984127,0.01093501,0.14412697,0.10942642,0.24338624,0.00228409
9500000,2530000,0,1,4700000,1,0,0.28631579,0.13660015,0.04781999,0.02530613,0.49473684,0.0092211
8950000,2150000,0,1,1900000,1,0,0.26022346,0.36573156,0.02831263,0.03948909,0.2122905,0.09395276
9450000,2760000,0,0,2800000,0,1,0.31206349,0.00313121,0.20200709,0.14781879,0.2962963,0.03868312
9750000,2380000,0,1,2400000,1,0,0.26410256,0.33629767,0.05938629,0.06865341,0.24615385,0.02540622
8500000,3950000,0,1,2900000,0,0,0.48470588,0.07231336,0.02163494,0.07111156,0.34117647,0.00905779
7550000,3210000,0,1,1700000,0,1,0.44516556,0.04990447,0.11032433,0.16071074,0.22516556,0.00872934
9350000,2030000,0,0,3900000,1,0,0.2371123,0.13698963,0.03806602,0.07647865,0.4171123,0.0942411
7850000,2860000,0,1,2300000,0,0,0.38433121,0.04989883,0.13259945,0.12523675,0.29299363,0.01494013
6650000,2070000,0,0,1900000,1,0,0.3312782,0.16773519,0.1230059,0.00692685,0.28571429,0.08533957
7950000,3150000,0,1,1900000,0,0,0.41622642,0.1488039,0.09238267,0.02243834,0.23899371,0.08115496
7100000,2840000,0,1,1500000,0,0,0.42,0.13610509,0.12136567,0.06428959,0.21126761,0.04697204
7450000,2640000,0,1,2600000,0,0,0.37436242,0.13911618,0.11090949,0.02389048,0.34899329,0.00272814
8150000,3460000,0,1,2500000,0,0,0.44453988,0.1019091,0.00300369,0.09786747,0.30674847,0.04593139
7050000,2050000,0,1,2900000,1,0,0.31078014,0.21356523,0.01485585,0.04256129,0.41134752,0.00688997
9800000,2200000,0,0,3500000,1,0,0.2444898,0.16442017,0.08362495,0.08315603,0.35714286,0.06716619
9700000,2060000,0,1,5600000,0,0,0.23237113,0.06157106,0.04791531,0.05804085,0.57731959,0.02278206
8200000,2300000,0,1,1500000,1,0,0.3004878,0.30753855,0.0481632,0.08225041,0.18292683,0.07863321
8600000,3900000,0,0,2100000,0,0,0.47348837,0.10780664,0.05747893,0.08552984,0.24418605,0.03151017
9050000,2280000,0,1,3400000,0,0,0.2719337,0.09171634,0.07041947,0.09044553,0.37569061,0.09979435
8250000,3890000,0,0,1700000,0,0,0.49151515,0.02442853,0.13474275,0.05996364,0.20606061,0.08328932
7850000,2040000,0,1,1600000,0,1,0.27987261,0.07681876,0.29552852,0.11157141,0.20382166,0.03238704
8950000,3460000,0,0,2200000,0,0,0.40659218,0.05776471,0.13723428,0.13963834,0.24581006,0.01296043
8200000,3300000,0,1,1900000,1,0,0.42243902,0.1536823,0.0941291,0.01824626,0.23170732,0.079796
7950000,3570000,0,0,1700000,0,0,0.4690566,0.14423264,0.10189437,0.003817,0.21383648,0.06716291
9050000,2940000,0,1,3300000,0,0,0.34486188,0.03849548,0.03956363,0.12915394,0.36464088,0.08328419
8200000,3110000,0,1,3700000,0,0,0.39926829,0.01126443,0.10508033,0.00258676,0.45121951,0.03058068
6300000,2120000,0,0,1600000,1,0,0.35650794,0.28205798,0.01302494,0.01705867,0.25396825,0.07738222
9000000,3850000,0,1,2200000,0,0,0.44777778,0.02472689,0.11805207,0.13458212,0.24444444,0.0304167
7550000,2880000,0,1,3400000,0,0,0.40145695,0.01084797,0.03784397,0.02850882,0.45033113,0.07101116
9200000,2200000,0,1,1900000,1,0,0.25913043,0.36386648,0.00393492,0.10857837,0.20652174,0.05796806
9750000,4000000,0,0,2700000,0,0,0.43025641,0.05855976,0.1219447,0.06410724,0.27692308,0.04820881
9700000,3340000,0,0,3400000,0,0,0.3643299,0.0519812,0.01645447,0.14707765,0.35051546,0.06964132
7900000,2300000,0,1,3700000,0,0,0.31113924,0.02301659,0.06538093,0.03904402,0.46835443,0.09306479
9900000,3890000,0,0,2100000,1,0,0.41292929,0.27402609,0.00447224,0.03060364,0.21212121,0.06584753
8500000,2430000,0,1,2300000,0,0,0.30588235,0.14610105,0.13990009,0.07635127,0.27058824,0.061177
8850000,2660000,0,0,2900000,1,0,0.32056497,0.11034251,0.06303858,0.10350766,0.32768362,0.07486266
9400000,4270000,0,1,2700000,0,0,0.47425532,0.10716752,0.00104609,0.12171826,0.28723404,0.00857877
9700000,4540000,0,1,1600000,0,0,0.48804124,0.11813075,0.04026954,0.10680356,0.16494845,0.08180646
9900000,3250000,0,1,2900000,0,0,0.34828283,0.12248177,0.12625399,0.09682931,0.29292929,0.01322281
6950000,2340000,0,1,1600000,1,0,0.35669065,0.16442358,0.13496616,0.01815917,0.23021583,0.09554461
6900000,2390000,0,0,1900000,0,0,0.36637681,0.07189671,0.13439222,0.12423493,0.27536232,0.02773701
5750000,2210000,0,0,1900000,1,0,0.40434783,0.15849863,0.08754189,0.01423139,0.33043478,0.00494548
9550000,3870000,0,1,2200000,1,0,0.4252356,0.18144669,0.06721735,0.05076319,0.23036649,0.04497068
8100000,2570000,0,0,2900000,1,0,0.33728395,0.21554558,0.03656798,0.01938783,0.35802469,0.03318997
9450000,2300000,0,1,4000000,0,0,0.26338624,0.12458717,0.01280374,0.12528313,0.42328042,0.0506593
9650000,3530000,0,0,3800000,1,0,0.38580311,0.17915835,0.00160447,0.0177152,0.39378238,0.02193649
9600000,2220000,0,1,4400000,1,0,0.25125,0.19197514,0.02908943,0.0488704,0.45833333,0.0204817
9650000,2720000,0,1,2000000,1,0,0.30186528,0.22975694,0.08101652,0.08583901,0.20725389,0.09426836
7150000,3250000,0,1,1500000,1,0,0.47454545,0.10373159,0.11807656,0.08352624,0.20979021,0.01032995
9350000,2270000,0,0,1500000,1,0,0.26278075,0.21751551,0.13354502,0.13812849,0.16042781,0.08760242
8250000,3260000,0,1,2100000,1,0,0.41515152,0.12389164,0.13895487,0.06053688,0.25454545,0.00691964
8950000,2510000,0,1,4200000,0,0,0.30044693,0.12833812,0.05594356,0.00369821,0.46927374,0.04229944
8050000,3650000,0,1,1800000,1,0,0.47341615,0.15216173,0.02329234,0.07584709,0.22360248,0.05168021
8400000,3430000,0,1,2400000,1,0,0.42833333,0.15429743,0.02879138,0.06975579,0.28571429,0.03310778
9000000,2140000,0,0,3300000,0,0,0.25777778,0.14053753,0.06305932,0.13315493,0.36666667,0.03880377
9150000,3130000,0,1,2100000,1,0,0.3620765,0.24900399,0.05232502,0.08575651,0.2295082,0.02132978
8300000,3110000,0,0,1700000,0,0,0.3946988,0.08049278,0.08368656,0.14797962,0.20481928,0.08832296
7150000,2920000,0,1,1600000,1,0,0.42839161,0.12377557,0.07121367,0.10385327,0.22377622,0.04898966
9700000,2410000,0,0,1700000,1,0,0.26845361,0.27063993,0.10443719,0.08273145,0.17525773,0.09848009
9550000,2860000,0,1,4000000,0,0,0.31947644,0.03306073,0.13111392,0.05178606,0.41884817,0.04571468
9400000,3710000,0,0,1600000,1,0,0.41468085,0.21644286,0.11914998,0.00044461,0.17021277,0.07906893
9100000,2220000,0,0,2000000,1,0,0.26395604,0.22341619,0.1278845,0.13075855,0.21978022,0.0342045
9250000,4170000,0,0,2300000,0,0,0.47081081,0.07077888,0.02102366,0.13014348,0.24864865,0.05859452
10000000,2090000,0,0,2600000,0,1,0.229,0.02152081,0.15925932,0.30010037,0.26,0.0301195
9300000,3160000,0,1,1600000,0,1,0.35978495,0.07176597,0.18521337,0.15355384,0.17204301,0.05763886
9250000,2250000,0,1,3000000,1,0,0.26324324,0.31112911,0.01325226,0.02276648,0.32432432,0.06528459
8800000,2760000,0,1,3700000,0,0,0.33363636,0.00737268,0.09181207,0.14317963,0.42045455,0.00354471
6000000,2660000,0,1,1700000,1,0,0.46333333,0.16290105,0.05221039,0.03494974,0.28333333,0.00327216
9350000,4280000,0,0,2800000,1,0,0.47775401,0.10695987,0.00118158,0.06671643,0.29946524,0.04792287
9750000,4500000,0,1,3000000,0,0,0.48153846,0.09372594,0.06550968,0.02194967,0.30769231,0.02958394
8200000,3550000,0,0,2200000,1,0,0.45292683,0.1109417,0.06007236,0.09765797,0.26829268,0.01010846
6150000,2700000,0,0,1500000,0,0,0.45902439,0.12376956,0.05185694,0.02251588,0.24390244,0.09893079
9950000,2720000,0,0,2500000,0,0,0.29336683,0.10328216,0.12283479,0.1381436,0.25125628,0.09111634
9300000,4150000,0,1,3100000,0,0,0.46623656,0.12148573,0.013947,0.04156133,0.33333333,0.02343605
10000000,3700000,0,1,1900000,1,0,0.39,0.22427488,0.06533205,0.06876774,0.19,0.06162533
5550000,2620000,0,1,2100000,0,0,0.49207207,0.01526052,0.06575363,0.00142496,0.37837838,0.04711044
9350000,2530000,0,0,1600000,1,0,0.29058824,0.36331619,0.03179734,0.0712613,0.17112299,0.07191394
4950000,2070000,0,0,1500000,0,0,0.43818182,0.13493983,0.03656828,0.01165672,0.3030303,0.07562305
6350000,2360000,0,0,1700000,0,0,0.39165354,0.13929044,0.09288515,0.0842177,0.26771654,0.02423663
9900000,3090000,0,1,2100000,1,0,0.33212121,0.36468649,0.01641339,0.05418989,0.21212121,0.02046781
8150000,2000000,0,1,2700000,0,0,0.26539877,0.1419924,0.03206867,0.13530797,0.33128834,0.09394385
9250000,2330000,0,0,2700000,1,0,0.27189189,0.2187328,0.05397047,0.10787567,0.29189189,0.05563728
9750000,3870000,0,1,1500000,1,0,0.41692308,0.1310173,0.13829817,0.10130184,0.15384615,0.05861346
7100000,2230000,0,1,2200000,0,0,0.33408451,0.10565269,0.06043127,0.14134051,0.30985915,0.04863187
8700000,2600000,0,1,3700000,1,0,0.31885057,0.11913187,0.04699154,0.06517293,0.42528736,0.02456573
6550000,2730000,0,0,1900000,1,0,0.43679389,0.16435724,0.00583766,0.07408317,0.29007634,0.0288517
6500000,2770000,0,1,1700000,0,0,0.44615385,0.03527188,0.14558648,0.03400309,0.26153846,0.07744624
8900000,2410000,0,1,2000000,1,0,0.29078652,0.35146146,0.09804796,0.01259722,0.2247191,0.02238774
9600000,2050000,0,0,4700000,0,0,0.23354167,0.0713511,0.09877345,0.0206033,0.48958333,0.08614715
7050000,2410000,0,1,2200000,0,0,0.36184397,0.08518759,0.07735942,0.11656252,0.31205674,0.04698976
9150000,2560000,0,1,3000000,1,0,0.29978142,0.28167804,0.04047439,0.02464157,0.32786885,0.02555573
9400000,3610000,0,0,2700000,1,0,0.40404255,0.15120373,0.05935364,0.02760944,0.28723404,0.0705566
9750000,2580000,0,1,5000000,0,0,0.28461538,0.03112578,0.05044138,0.09399282,0.51282051,0.02700413
7950000,2640000,0,0,1900000,0,0,0.35207547,0.09263045,0.14924814,0.0980785,0.23899371,0.06897373
8150000,5390000,1,1,0,1,0,0.68134969,0.2104185,0.05956703,0.00733595,0,0.04132883
7400000,3590000,1,1,0,1,0,0.50513514,0.14888322,0.13391684,0.04557919,0,0.16648561
6500000,3960000,1,0,0,0,1,0.62923077,0.0495353,0.14768293,0.14708776,0,0.02646324
4500000,2270000,1,1,0,0,0,0.52444444,0.06148554,0.13609408,0.13675619,0,0.14121975
9150000,5520000,1,0,0,0,0,0.62327869,0.00023427,0.13209264,0.1316873,0,0.1127071
7550000,3230000,1,1,0,0,1,0.44781457,0.02516445,0.33897345,0.13521728,0,0.05283025
7250000,2660000,1,0,0,1,1,0.38689655,0.32577545,0.13030862,0.12607522,0,0.03094416
9500000,2370000,1,0,0,1,1,0.26947368,0.28138151,0.23706793,0.14715062,0,0.06492626
7700000,2750000,1,1,0,1,0,0.37714286,0.2494217,0.06195094,0.129431,0,0.1820535
